Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-02,A Complete Unknown,2024,https://boxd.it/8ZyYSD,2.5,,"DNF. The stream I was watching stopped working and I realised I wasn't enjoying this at all enough to try and get it up and running again.

Timmy's fine and all but <i>wow</i> Dylan is an unlikeable person. The way this story is told just feels completely indifferent and directionless and, like, why should I care about that??

Edit: OK I finished it the next afternoon and don't feel any different. All I want to say is Edward Norton is very good and should be recognised! Poor guy just wanted to put on a folk festival 🥲",julia,2025-03-01
2025-03-10,Mickey 17,2025,https://boxd.it/94I187,3,,"Liked it when it was a cool, funny sci-fi film exploring the ramifications and applications of cloning yourself after death. Didn't like when it devolved into a generic, shouty action alien movie.

Robert Pattinson undoubtedly extremely well-cast as Mickey, though.","julia, picturehouse central",2025-03-08
2025-03-21,Best in Show,2000,https://boxd.it/9boh8l,3.5,,"<i>""She looks like a cocktail waitress on an oil rig""</i> 💀","plex, julia",2025-03-20
2025-04-06,Chef,2014,https://boxd.it/9koVcD,4,Yes,"Even better when you're served a ""deconstructed cheese toastie"" at the same time they eat it in the movie, and it's two slices of slightly toasted bread swimming in far too much cheese sauce.

I'd kill for Carl's restaurant-style apartment kitchen, though.","vic, tastefilm",2025-04-05
2025-04-12,Adolescence,2025,https://boxd.it/9nA5NN,4,,"First three episodes were extremely powerful to me. Weirdly I think Ep 2 was my favourite. It really painted a dismal picture of UK schools and the comète lack of respect and interest when it comes to education, and I think I fully believe that it's getting like that.

The final episode didn't quite land for me. I appreciate telling that side of the story but it almost, somehow, felt a bit disconnected and didn't have enough impact to be a ""finale"".","connie, netflix",2025-04-11
2025-04-14,Whiplash,2014,https://boxd.it/9p0czJ,5,Yes,"It's still good. I still love it.

Is it bad of me to say I kinda see where Fletcher is coming from?","julia, plex",2025-04-13
2025-04-18,Arrival,2016,https://boxd.it/9raTZj,5,Yes,"Yet another film I wish I'd seen in the cinema. Will forever love the atmosphere created by Jóhann Jóhannsson's beautiful score, rest in peace :(( you have an eternal fan in me","julia, plex",2025-04-17
2025-04-20,Black Mirror: Eulogy,2025,https://boxd.it/9slzsb,4,,"Black Mirror at its best. Grounded in reality and so close to feeling viable in today's world made this episode hit in a way some of the other new ones didn't.

And, of course, Paul Giamatti is wonderful, if seemingly a little bit similar to his <i>Holdovers</i> character.","netflix, julia",2025-04-19
2025-04-20,Black Mirror: Bête Noire,2025,https://boxd.it/9slO0L,2,,"Swing and a miss. :) started interesting then got very silly

Maybe not the easiest scenario to flesh out into a full-length episode","julia, netflix",2025-04-17
2025-04-20,Black Mirror: Plaything,2025,https://boxd.it/9sTPQB,3.5,,"Liked this! Really enjoyed the scenes with older computer hardware being cobbled together—that computer built in the apartment was really, really striking.

Capaldi and Gribben both incredibly excellent, too. I just feel like the ending was a little rushed.",netflix,2025-04-20
2025-04-20,The Princess Bride,1987,https://boxd.it/9sWgMF,3,,"I mean it's alright! I struggle to understand what makes this a 5-star movie for people, even on a nostalgia/meta level.","plex, dad, mum, oli",2025-04-19
2025-04-21,Black Mirror: USS Callister – Into Infinity,2025,https://boxd.it/9t5Qwh,3.5,,I'd probably watch this as its own TV show.,netflix,2025-04-20
2025-04-21,The Order,2024,https://boxd.it/9thZov,4,,"Wow. Really surprised at how good this is, and how little I'd heard of it.

No doubt this is a pretty bleak movie. The tone feels so subdued, almost hopeless, the entire time, with the ending—rightfully, in my opinion—really never landing on any sense of ""good triumphing over evil"".

There are no winners in a fight like this. Everyone just ends up worse off than before.","plex, dad",2025-04-20
