Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-11-11,Us Again,2021,https://boxd.it/58QbS5,3.5,,julia,2023-11-10
2023-11-11,Talk to Me,2022,https://boxd.it/58QgTH,4,,julia,2023-11-10
2023-11-11,The Simpsons Movie,2007,https://boxd.it/58RZOp,4,,julia,2023-11-11
2023-11-13,Carol,2015,https://boxd.it/59zqTH,3.5,,,2023-11-12
2023-11-15,Dream Scenario,2023,https://boxd.it/5abp8B,3.5,,"picturehouse finsbury, julia",2023-11-14
2023-11-23,The Hunger Games: The Ballad of Songbirds & Snakes,2023,https://boxd.it/5cHq7h,2,,"vue westfield, julia",2023-11-22
2023-11-30,Memento,2000,https://boxd.it/5fbNZJ,4,,,2023-11-29
2023-12-06,One Cut of the Dead,2017,https://boxd.it/5hcttX,4,,,2023-12-05
2023-12-12,Wonka,2023,https://boxd.it/5j9jUB,3.5,,,2023-12-05
2023-12-08,Anatomy of a Fall,2023,https://boxd.it/5hVlkj,3.5,,"picturehouse fulham, julia",2023-12-08
2023-12-10,About Time,2013,https://boxd.it/5ivyE9,4,Yes,"plex, julia",2023-12-09
2023-12-12,Speed,1994,https://boxd.it/5j9dXT,3.5,,,2023-12-10
2023-12-12,Saltburn,2023,https://boxd.it/5jkPkd,4.5,,"picturehouse finsbury, julia",2023-12-11
2023-12-15,A.I. Artificial Intelligence,2001,https://boxd.it/5kf7q1,4,,plex,2023-12-14
2023-12-19,Fallen Leaves,2023,https://boxd.it/5lNVLZ,3.5,,"picturehouse hackney, julia",2023-12-18
2023-12-20,Godzilla Minus One,2023,https://boxd.it/5m9Qkj,4.5,,the light redhill,2023-12-19
2023-12-21,The Holdovers,2023,https://boxd.it/5mwLff,4,,,2023-12-20
2023-12-23,House of Gucci,2021,https://boxd.it/5nl1LV,,,,2023-12-22
2023-12-24,Vesper,2022,https://boxd.it/5nNm2X,2.5,,,2023-12-23
2023-12-25,You've Got Mail,1998,https://boxd.it/5ok6ih,3.5,,,2023-12-24
2023-12-26,Toy Story 4,2019,https://boxd.it/5oF5TN,4.5,,,2023-12-25
2023-12-26,Troy,2004,https://boxd.it/5oQ2Ul,2.5,,,2023-12-25
2023-12-27,Frequency,2000,https://boxd.it/5pqfqF,4,,,2023-12-26
2023-12-28,La La Land,2016,https://boxd.it/5q0qDn,5,Yes,,2023-12-27
2023-12-29,Following,1998,https://boxd.it/5qst7Z,3.5,,,2023-12-28
2023-12-30,Primal Fear,1996,https://boxd.it/5rmdEv,3.5,,,2023-12-29
2023-12-31,Hereditary,2018,https://boxd.it/5rKPOh,4.5,Yes,julia,2023-12-31
2024-01-03,Fear Street: 1978,2021,https://boxd.it/5tC763,2,,,2024-01-02
2024-01-05,Aquaman and the Lost Kingdom,2023,https://boxd.it/5uCyr7,2,,,2024-01-04
2024-01-05,The Boy and the Heron,2023,https://boxd.it/5uMYah,3,,"julia, barbican",2024-01-04
2024-01-08,Ex Machina,2015,https://boxd.it/5wZJdz,4,,plex,2024-01-07
